"","codigo","habitaciones","banios","superficie_total","superficie_construida","estacionamiento","precio","precioPESO","precioUF","fechaPublicacion","categoria","subcategoria","region","Region1","valorUFm2"
"80","6118072","3",NA,207,110,"1","$ 159.000.000"," 159000000","5139.48530802164","2021-12-02","Venta Usada","Casa","region-metropolitana-de-santiago-rm","RM",24.8284314397181
"81","5634813","6",NA,6942,500,"6","UF 14.400,00","445492080","14400.00","2021-12-02","Venta Usada","Casa","region-metropolitana-de-santiago-rm","RM",2.0743301642178
"82","6112257","3",NA,198,85,"2","$ 165.000.000"," 165000000","5333.42814983378","2021-12-01","Venta Usada","Casa","region-metropolitana-de-santiago-rm","RM",26.9365058072413
"83","6111399","6",NA,1510,356,"3","UF 18.000,00","556865100","18000.00","2021-12-01","Venta Usada","Casa","region-metropolitana-de-santiago-rm","RM",11.9205298013245
"84","6106727","4",NA,180,115,"1","UF 4.400,00","136122580","4400.00","2021-11-30","Venta Usada","Casa","region-metropolitana-de-santiago-rm","RM",24.4444444444444
"85","6106699","5",NA,330,150,"3","UF 9.350,00","289260482.5","9350.00","2021-11-30","Venta Usada","Casa","region-metropolitana-de-santiago-rm","RM",28.3333333333333
"86","6100906","3",NA,162,162,"2","$ 110.000.000"," 110000000","3555.61876655585","2021-11-29","Venta Usada","Casa","region-metropolitana-de-santiago-rm","RM",21.9482639910855
"87","5613900","3",NA,230,96,"2","$ 175.000.000"," 175000000","5656.66621952067","2021-11-28","Venta Usada","Casa","region-metropolitana-de-santiago-rm","RM",24.5942009544377
"88","5871883","4",NA,136,89,"3","$ 147.000.000"," 147000000","4751.59962439736","2021-11-28","Venta Usada","Casa","region-metropolitana-de-santiago-rm","RM",34.9382325323335
"89","5733182","3",NA,53,NA,"1","$ 68.000.000"," 68000000","2198.01887387089","2021-11-26","Venta Usada","Casa","region-metropolitana-de-santiago-rm","RM",41.4720542239791
"90","6080438","4",NA,130,110,"2","UF 3.900,00","120654105","3900.00","2021-11-26","Venta Usada","Casa","region-metropolitana-de-santiago-rm","RM",30
"91","6080373","4",NA,245,197,"1","UF 6.950,00","215011802.5","6950.00","2021-11-26","Venta Usada","Casa","region-metropolitana-de-santiago-rm","RM",28.3673469387755
"92","6072055","2",NA,35,NA,"1","$ 40.000.000"," 40000000","1292.95227874758","2021-11-25","Venta Usada","Casa","region-metropolitana-de-santiago-rm","RM",36.9414936785023
"93","5940836","3",NA,167,NA,"1","$ 102.000.000"," 102000000","3297.02831080633","2021-11-25","Venta Usada","Casa","region-metropolitana-de-santiago-rm","RM",19.7426844958463
"94","6000091","2",NA,NA,NA,"1","$ 90.000.000"," 90000000","2909.14262718206","2021-11-25","Venta Usada","Casa","region-metropolitana-de-santiago-rm","RM",NA
"95","3988745","4",NA,258.88,177,"2","UF 10.000,00","309369500","10000.00","2021-11-24","Venta Usada","Casa","region-metropolitana-de-santiago-rm","RM",38.627935723115
"96","5363152","5",NA,508,255,"5","UF 24.000,00","742486800","24000.00","2021-11-24","Venta Usada","Casa","region-metropolitana-de-santiago-rm","RM",47.244094488189
"97","5830442","3",NA,129,49,"2","$ 110.000.000"," 110000000","3555.61876655585","2021-11-23","Venta Usada","Casa","region-metropolitana-de-santiago-rm","RM",27.5629361748516
"98","6062791","4",NA,210,160,"2","UF 12.400,00","383618180","12400.00","2021-11-23","Venta Usada","Casa","region-metropolitana-de-santiago-rm","RM",59.0476190476191
"99","5842377","3",NA,240,111,"2","UF 7.600,00","235120820","7600.00","2021-11-23","Venta Usada","Casa","region-metropolitana-de-santiago-rm","RM",31.6666666666667
"100","6059498","3",NA,86,74,"1","$ 87.000.000"," 87000000","2812.17120627599","2021-11-22","Venta Usada","Casa","region-metropolitana-de-santiago-rm","RM",32.6996651892557
"101","6059395","3",NA,80,71,"1","$ 70.000.000"," 70000000","2262.66648780827","2021-11-22","Venta Usada","Casa","region-metropolitana-de-santiago-rm","RM",28.2833310976034
"102","6059305","3",NA,95,70,"1","$ 87.000.000"," 87000000","2812.17120627599","2021-11-22","Venta Usada","Casa","region-metropolitana-de-santiago-rm","RM",29.6018021713262
"103","6059279","2",NA,81,51,"2","$ 69.000.000"," 69000000","2230.34268083958","2021-11-22","Venta Usada","Casa","region-metropolitana-de-santiago-rm","RM",27.53509482518
"104","6046636","3",NA,152,120,"3","UF 7.050,00","218105497.5","7050.00","2021-11-22","Venta Usada","Casa","region-metropolitana-de-santiago-rm","RM",46.3815789473684
"105","6059204","2",NA,70,46,"2","$ 67.000.000"," 67000000","2165.6950669022","2021-11-22","Venta Usada","Casa","region-metropolitana-de-santiago-rm","RM",30.9385009557457
"106","6054321","4",NA,330,200,"4","UF 15.000,00","464054250","15000.00","2021-11-22","Venta Usada","Casa","region-metropolitana-de-santiago-rm","RM",45.4545454545455
"107","6046673","3",NA,226,70,"2","$ 140.000.000"," 140000000","4525.33297561654","2021-11-20","Venta Usada","Casa","region-metropolitana-de-santiago-rm","RM",20.0235972372413
"108","6018836","3",NA,110,83,"1","UF 4.776,74","147777766.543","4776.74","2021-11-17","Venta Usada","Casa","region-metropolitana-de-santiago-rm","RM",43.4249090909091
"109","5811333","3",NA,132,87,"2","$ 275.000.000"," 275000000","8889.04691638963","2021-11-16","Venta Usada","Casa","region-metropolitana-de-santiago-rm","RM",67.3412645181033
"110","6023915","3",NA,196,97,"3","$ 175.000.000"," 175000000","5656.66621952067","2021-11-16","Venta Usada","Casa","region-metropolitana-de-santiago-rm","RM",28.8605419363299
"111","6215280","3",NA,120,76,"3","$ 85.000.000"," 85000000","2747.52359233861","2021-12-23","Venta Usada","Casa","v-region-de-valparaiso","V Region",22.8960299361551
"112","6215236","4",NA,331,110,"4","$ 110.000.000"," 110000000","3555.61876655585","2021-12-23","Venta Usada","Casa","v-region-de-valparaiso","V Region",10.7420506542473
"113","6215199","3",NA,NA,95,"2","$ 90.000.000"," 90000000","2909.14262718206","2021-12-23","Venta Usada","Casa","v-region-de-valparaiso","V Region",NA
"114","6215129","4",NA,208,165,"1","$ 235.000.000"," 235000000","7596.09463764204","2021-12-23","Venta Usada","Casa","v-region-de-valparaiso","V Region",36.5196857578944
"115","6215066","6",NA,327,116,"5","$ 165.000.000"," 165000000","5333.42814983378","2021-12-23","Venta Usada","Casa","v-region-de-valparaiso","V Region",16.3101778282379
"116","6214921","4",NA,160,138,NA,"UF 7.280,00","225220996","7280.00","2021-12-23","Venta Usada","Casa","v-region-de-valparaiso","V Region",45.5
"117","6214770","4",NA,200,80,"2","$ 115.000.000"," 115000000","3717.2378013993","2021-12-23","Venta Usada","Casa","v-region-de-valparaiso","V Region",18.5861890069965
"118","5488126","3",NA,68,NA,"1","UF 2.550,00","78889222.5","2550.00","2021-12-23","Venta Nueva","Casa","v-region-de-valparaiso","V Region",37.5
"119","6214519","3",NA,NA,NA,"2","$ 140.000.000"," 140000000","4525.33297561654","2021-12-23","Venta Usada","Casa","v-region-de-valparaiso","V Region",NA
"120","6214480","4",NA,140,120,"1","$ 120.000.000"," 120000000","3878.85683624275","2021-12-23","Venta Usada","Casa","v-region-de-valparaiso","V Region",27.7061202588768
"121","5501829","4",NA,135,46,"2","UF 2.200,00","68061290","2200.00","2021-12-23","Venta Usada","Casa","v-region-de-valparaiso","V Region",16.2962962962963
"122","5999778","5",NA,316,115,"3","$ 78.000.000"," 78000000","2521.25694355778","2021-12-21","Venta Usada","Casa","v-region-de-valparaiso","V Region",7.97866121379044
"123","6188931","4",NA,150,120,"1","$ 117.000.000"," 117000000","3781.88541533668","2021-12-21","Venta Usada","Casa","v-region-de-valparaiso","V Region",25.2125694355779
"124","5392367","2",NA,84,51,"3","$ 59.000.000"," 59000000","1907.10461115268","2021-12-21","Venta Usada","Casa","v-region-de-valparaiso","V Region",22.7036263232462
"125","5314991","3",NA,5200,130,"8","UF 6.800,00","210371260","6800.00","2021-12-20","Venta Usada","Casa","v-region-de-valparaiso","V Region",1.30769230769231
"126","5478572","4",NA,240,133,"3","UF 8.800,00","272245160","8800.00","2021-12-20","Venta Usada","Casa","v-region-de-valparaiso","V Region",36.6666666666667
"127","5712592","4",NA,120,92,"1","UF 6.710,00","207586934.5","6710.00","2021-12-20","Venta Usada","Casa","v-region-de-valparaiso","V Region",55.9166666666667
"128","5959310","4",NA,170,140,"1","$ 210.000.000"," 210000000","6787.9994634248","2021-12-20","Venta Usada","Casa","v-region-de-valparaiso","V Region",39.9294086083812
"129","6177805","4",NA,230,95,"2","$ 390.000.000"," 390000000","12606.2847177889","2021-12-20","Venta Usada","Casa","v-region-de-valparaiso","V Region",54.8099335556039
"130","3573510","6",NA,1180,390,"6","UF 21.000,00","649675950","21000.00","2021-12-17","Venta Nueva","Casa","v-region-de-valparaiso","V Region",17.7966101694915
"131","5512353","4",NA,390,75,"1","$ 66.500.000"," 66500000","2149.53316341785","2021-12-17","Venta Usada","Casa","v-region-de-valparaiso","V Region",5.51162349594321
"132","5448730","3",NA,327,250,"4","$ 165.000.000"," 165000000","5333.42814983378","2021-12-16","Venta Usada","Casa","v-region-de-valparaiso","V Region",16.3101778282379
"133","5490228","5",NA,293,149,"2","$ 177.000.000"," 177000000","5721.31383345805","2021-12-16","Venta Usada","Casa","v-region-de-valparaiso","V Region",19.526668373577
"134","2988826","5",NA,1000,450,"5","UF 26.000,00","804360700","26000.00","2021-12-15","Venta Usada","Casa","v-region-de-valparaiso","V Region",26
"135","2988724","5",NA,1000,450,"5","UF 26.000,00","804360700","26000.00","2021-12-14","Venta Usada","Casa","v-region-de-valparaiso","V Region",26
